Period,AGE GROUP (YEARS),Cancer,NUM_WOMEN
2004,55–59,Invasive,1725
2005,55–59,Invasive,1644
2006,55–59,Invasive,1745
2007,55–59,Invasive,1692
2008,55–59,Invasive,1718
2009,55–59,Invasive,1704
2010,55–59,Invasive,1813
2011,55–59,Invasive,1686
2012,55–59,Invasive,1815
2013,55–59,Invasive,1904
2014,55–59,Invasive,1994
2015,55–59,Invasive,2020
1982,60–64,Invasive,652
1983,60–64,Invasive,624
1984,60–64,Invasive,692
1985,60–64,Invasive,743
1986,60–64,Invasive,713
1987,60–64,Invasive,818
1988,60–64,Invasive,843
1989,60–64,Invasive,895
1990,60–64,Invasive,820
1991,60–64,Invasive,893
1992,60–64,Invasive,792
1993,60–64,Invasive,966
1994,60–64,Invasive,1111
1995,60–64,Invasive,1061
1996,60–64,Invasive,1018
1997,60–64,Invasive,1086
1998,60–64,Invasive,1146
1999,60–64,Invasive,1244
2000,60–64,Invasive,1334
2001,60–64,Invasive,1447
2002,60–64,Invasive,1417
2003,60–64,Invasive,1403
2004,60–64,Invasive,1441
2005,60–64,Invasive,1476
2006,60–64,Invasive,1721
2007,60–64,Invasive,1709
2008,60–64,Invasive,1891
2009,60–64,Invasive,1960
2010,60–64,Invasive,2088
2011,60–64,Invasive,2110
2012,60–64,Invasive,2113
2013,60–64,Invasive,2121
2014,60–64,Invasive,2230
2015,60–64,Invasive,2282
1982,65–69,Invasive,637
1983,65–69,Invasive,570
1984,65–69,Invasive,614
1985,65–69,Invasive,669
1986,65–69,Invasive,675
1987,65–69,Invasive,772
1988,65–69,Invasive,772
1989,65–69,Invasive,826
1990,65–69,Invasive,863
1991,65–69,Invasive,957
1992,65–69,Invasive,933
1993,65–69,Invasive,997
1994,65–69,Invasive,1216
1995,65–69,Invasive,1099
1996,65–69,Invasive,1058
1997,65–69,Invasive,1083
1998,65–69,Invasive,1131
1999,65–69,Invasive,1096
2000,65–69,Invasive,1124
2001,65–69,Invasive,1165
2002,65–69,Invasive,1285
2003,65–69,Invasive,1207
2004,65–69,Invasive,1256
2005,65–69,Invasive,1329
2006,65–69,Invasive,1375
2007,65–69,Invasive,1364
2008,65–69,Invasive,1596
2009,65–69,Invasive,1697
2010,65–69,Invasive,1737
2011,65–69,Invasive,1794
2012,65–69,Invasive,1945
2013,65–69,Invasive,2168
2014,65–69,Invasive,2278
2015,65–69,Invasive,2343
1982,70–74,Invasive,522
1983,70–74,Invasive,586
1984,70–74,Invasive,653
1985,70–74,Invasive,622
1986,70–74,Invasive,679
1987,70–74,Invasive,630
1988,70–74,Invasive,700
1989,70–74,Invasive,715
1990,70–74,Invasive,757
1991,70–74,Invasive,796
1992,70–74,Invasive,778
1993,70–74,Invasive,905
1994,70–74,Invasive,1020
1995,70–74,Invasive,1031
1996,70–74,Invasive,988
1997,70–74,Invasive,1031
1998,70–74,Invasive,1062
1999,70–74,Invasive,994
2000,70–74,Invasive,1103
2001,70–74,Invasive,1106
2002,70–74,Invasive,1043
2003,70–74,Invasive,933
2004,70–74,Invasive,1024
2005,70–74,Invasive,913
2006,70–74,Invasive,975
2007,70–74,Invasive,990
2008,70–74,Invasive,1035
2009,70–74,Invasive,1109
2010,70–74,Invasive,1148
2011,70–74,Invasive,1195
2012,70–74,Invasive,1271
2013,70–74,Invasive,1440
2014,70–74,Invasive,1805
2015,70–74,Invasive,1834
1982,75–79,Invasive,408
1983,75–79,Invasive,395
1984,75–79,Invasive,449
1985,75–79,Invasive,503
1986,75–79,Invasive,533
1987,75–79,Invasive,579
1988,75–79,Invasive,572
1989,75–79,Invasive,625
1990,75–79,Invasive,638
1991,75–79,Invasive,671
1992,75–79,Invasive,648
1993,75–79,Invasive,695
1994,75–79,Invasive,780
1995,75–79,Invasive,831
1996,75–79,Invasive,738
1997,75–79,Invasive,859
1998,75–79,Invasive,879
1999,75–79,Invasive,837
2000,75–79,Invasive,911
2001,75–79,Invasive,903
2002,75–79,Invasive,928
2003,75–79,Invasive,910
2004,75–79,Invasive,886
2005,75–79,Invasive,882
2006,75–79,Invasive,833
2007,75–79,Invasive,830
2008,75–79,Invasive,921
2009,75–79,Invasive,928
2010,75–79,Invasive,911
2011,75–79,Invasive,914
2012,75–79,Invasive,999
2013,75–79,Invasive,1190
2014,75–79,Invasive,1168
2015,75–79,Invasive,1183
1982,80–84,Invasive,264
1983,80–84,Invasive,307
1984,80–84,Invasive,305
1985,80–84,Invasive,335
1986,80–84,Invasive,349
1987,80–84,Invasive,389
1988,80–84,Invasive,383
1989,80–84,Invasive,396
1990,80–84,Invasive,424
1991,80–84,Invasive,485
1992,80–84,Invasive,490
1993,80–84,Invasive,465
1994,80–84,Invasive,531
1995,80–84,Invasive,582
1996,80–84,Invasive,576
1997,80–84,Invasive,581
1998,80–84,Invasive,598
1999,80–84,Invasive,560
2000,80–84,Invasive,584
2001,80–84,Invasive,622
2002,80–84,Invasive,616
2003,80–84,Invasive,709
2004,80–84,Invasive,686
2005,80–84,Invasive,679
2006,80–84,Invasive,722
2007,80–84,Invasive,730
2008,80–84,Invasive,737
2009,80–84,Invasive,812
2010,80–84,Invasive,754
2011,80–84,Invasive,794
2012,80–84,Invasive,809
2013,80–84,Invasive,858
2014,80–84,Invasive,853
2015,80–84,Invasive,787
1982,85+,Invasive,239
1983,85+,Invasive,251
1984,85+,Invasive,253
1985,85+,Invasive,255
1986,85+,Invasive,302
1987,85+,Invasive,309
1988,85+,Invasive,300
1989,85+,Invasive,325
1990,85+,Invasive,335
1991,85+,Invasive,371
1992,85+,Invasive,366
1993,85+,Invasive,391
1994,85+,Invasive,376
1995,85+,Invasive,419
1996,85+,Invasive,433
1997,85+,Invasive,446
1998,85+,Invasive,494
1999,85+,Invasive,494
2000,85+,Invasive,528
2001,85+,Invasive,571
2002,85+,Invasive,593
2003,85+,Invasive,563
2004,85+,Invasive,624
2005,85+,Invasive,629
2006,85+,Invasive,647
2007,85+,Invasive,692
2008,85+,Invasive,753
2009,85+,Invasive,735
2010,85+,Invasive,797
2011,85+,Invasive,862
2012,85+,Invasive,886
2013,85+,Invasive,901
2014,85+,Invasive,934
2015,85+,Invasive,910
