AGE GROUP (YEARS),Cancer,NUM_WOMEN,Period,Screen,STATE
40–44,Invasive,0,2012,2+,ACT
40–44,Invasive,10,2012,2+,NSW
40–44,Invasive,0,2012,2+,NT
40–44,Invasive,15,2012,2+,QLD
40–44,Invasive,0,2012,2+,SA
40–44,Invasive,2,2012,2+,TAS
40–44,Invasive,5,2012,2+,VIC
40–44,Invasive,2,2012,2+,WA
40–44,Invasive,1,2013,1,ACT
40–44,Invasive,24,2013,1,NSW
40–44,Invasive,2,2013,1,NT
40–44,Invasive,23,2013,1,QLD
40–44,Invasive,5,2013,1,SA
40–44,Invasive,2,2013,1,TAS
40–44,Invasive,22,2013,1,VIC
40–44,Invasive,10,2013,1,WA
40–44,Invasive,0,2013,2+,ACT
40–44,Invasive,1,2013,2+,NSW
40–44,Invasive,0,2013,2+,NT
40–44,Invasive,9,2013,2+,QLD
40–44,Invasive,3,2013,2+,SA
40–44,Invasive,2,2013,2+,TAS
40–44,Invasive,2,2013,2+,VIC
40–44,Invasive,4,2013,2+,WA
40–44,Invasive,1,2014,1,ACT
40–44,Invasive,33,2014,1,NSW
40–44,Invasive,0,2014,1,NT
40–44,Invasive,31,2014,1,QLD
40–44,Invasive,3,2014,1,SA
40–44,Invasive,4,2014,1,TAS
40–44,Invasive,21,2014,1,VIC
40–44,Invasive,11,2014,1,WA
40–44,Invasive,1,2014,2+,ACT
40–44,Invasive,5,2014,2+,NSW
40–44,Invasive,0,2014,2+,NT
40–44,Invasive,9,2014,2+,QLD
40–44,Invasive,1,2014,2+,SA
40–44,Invasive,1,2014,2+,TAS
40–44,Invasive,2,2014,2+,VIC
40–44,Invasive,7,2014,2+,WA
40–44,Invasive,4,2015,1,ACT
40–44,Invasive,18,2015,1,NSW
40–44,Invasive,1,2015,1,NT
40–44,Invasive,38,2015,1,QLD
40–44,Invasive,3,2015,1,SA
40–44,Invasive,3,2015,1,TAS
40–44,Invasive,20,2015,1,VIC
40–44,Invasive,11,2015,1,WA
40–44,Invasive,0,2015,2+,ACT
40–44,Invasive,7,2015,2+,NSW
40–44,Invasive,0,2015,2+,NT
40–44,Invasive,18,2015,2+,QLD
40–44,Invasive,0,2015,2+,SA
40–44,Invasive,2,2015,2+,TAS
40–44,Invasive,3,2015,2+,VIC
40–44,Invasive,6,2015,2+,WA
40–44,Invasive,1,2016,1,ACT
40–44,Invasive,24,2016,1,NSW
40–44,Invasive,0,2016,1,NT
40–44,Invasive,23,2016,1,QLD
40–44,Invasive,3,2016,1,SA
40–44,Invasive,4,2016,1,TAS
40–44,Invasive,22,2016,1,VIC
40–44,Invasive,13,2016,1,WA
40–44,Invasive,0,2016,2+,ACT
40–44,Invasive,5,2016,2+,NSW
40–44,Invasive,0,2016,2+,NT
40–44,Invasive,20,2016,2+,QLD
40–44,Invasive,4,2016,2+,SA
40–44,Invasive,3,2016,2+,TAS
40–44,Invasive,5,2016,2+,VIC
40–44,Invasive,9,2016,2+,WA
40–44,Invasive,1,2017,1,ACT
40–44,Invasive,20,2017,1,NSW
40–44,Invasive,0,2017,1,NT
40–44,Invasive,27,2017,1,QLD
40–44,Invasive,6,2017,1,SA
40–44,Invasive,2,2017,1,TAS
40–44,Invasive,14,2017,1,VIC
40–44,Invasive,8,2017,1,WA
40–44,Invasive,0,2017,2+,ACT
40–44,Invasive,7,2017,2+,NSW
40–44,Invasive,0,2017,2+,NT
40–44,Invasive,14,2017,2+,QLD
40–44,Invasive,0,2017,2+,SA
40–44,Invasive,0,2017,2+,TAS
40–44,Invasive,0,2017,2+,VIC
40–44,Invasive,4,2017,2+,WA
45–49,Invasive,0,2009,1,ACT
45–49,Invasive,37,2009,1,NSW
45–49,Invasive,40,2009,1,QLD
45–49,Invasive,6,2009,1,SA
45–49,Invasive,20,2009,1,VIC
45–49,Invasive,14,2009,1,WA
45–49,Invasive,0,2009,2+,ACT
45–49,Invasive,20,2009,2+,NSW
45–49,Invasive,84,2009,2+,QLD
45–49,Invasive,13,2009,2+,SA
45–49,Invasive,8,2009,2+,TAS
45–49,Invasive,13,2009,2+,VIC
45–49,Invasive,14,2009,2+,WA
45–49,Invasive,4,2010,1,ACT
45–49,Invasive,33,2010,1,NSW
45–49,Invasive,1,2010,1,NT
45–49,Invasive,29,2010,1,QLD
45–49,Invasive,10,2010,1,SA
45–49,Invasive,3,2010,1,TAS
45–49,Invasive,22,2010,1,VIC
45–49,Invasive,19,2010,1,WA
45–49,Invasive,3,2010,2+,ACT
45–49,Invasive,23,2010,2+,NSW
45–49,Invasive,3,2010,2+,NT
45–49,Invasive,80,2010,2+,QLD
45–49,Invasive,9,2010,2+,SA
45–49,Invasive,5,2010,2+,TAS
45–49,Invasive,20,2010,2+,VIC
45–49,Invasive,17,2010,2+,WA
45–49,Invasive,2,2011,1,ACT
45–49,Invasive,38,2011,1,NSW
45–49,Invasive,1,2011,1,NT
45–49,Invasive,23,2011,1,QLD
45–49,Invasive,7,2011,1,SA
45–49,Invasive,2,2011,1,TAS
45–49,Invasive,20,2011,1,VIC
45–49,Invasive,15,2011,1,WA
45–49,Invasive,3,2011,2+,ACT
45–49,Invasive,15,2011,2+,NSW
45–49,Invasive,1,2011,2+,NT
45–49,Invasive,70,2011,2+,QLD
45–49,Invasive,11,2011,2+,SA
45–49,Invasive,5,2011,2+,TAS
45–49,Invasive,18,2011,2+,VIC
45–49,Invasive,17,2011,2+,WA
45–49,Invasive,1,2012,1,ACT
45–49,Invasive,25,2012,1,NSW
45–49,Invasive,0,2012,1,NT
45–49,Invasive,30,2012,1,QLD
45–49,Invasive,6,2012,1,SA
45–49,Invasive,8,2012,1,TAS
45–49,Invasive,34,2012,1,VIC
45–49,Invasive,18,2012,1,WA
45–49,Invasive,1,2012,2+,ACT
45–49,Invasive,28,2012,2+,NSW
45–49,Invasive,2,2012,2+,NT
45–49,Invasive,90,2012,2+,QLD
45–49,Invasive,8,2012,2+,SA
45–49,Invasive,7,2012,2+,TAS
45–49,Invasive,17,2012,2+,VIC
45–49,Invasive,10,2012,2+,WA
45–49,Invasive,2,2013,1,ACT
45–49,Invasive,59,2013,1,NSW
45–49,Invasive,2,2013,1,NT
45–49,Invasive,40,2013,1,QLD
45–49,Invasive,7,2013,1,SA
45–49,Invasive,3,2013,1,TAS
45–49,Invasive,42,2013,1,VIC
45–49,Invasive,20,2013,1,WA
45–49,Invasive,1,2013,2+,ACT
45–49,Invasive,23,2013,2+,NSW
45–49,Invasive,0,2013,2+,NT
45–49,Invasive,64,2013,2+,QLD
45–49,Invasive,13,2013,2+,SA
45–49,Invasive,5,2013,2+,TAS
45–49,Invasive,15,2013,2+,VIC
45–49,Invasive,20,2013,2+,WA
45–49,Invasive,7,2014,1,ACT
45–49,Invasive,37,2014,1,NSW
45–49,Invasive,2,2014,1,NT
45–49,Invasive,34,2014,1,QLD
45–49,Invasive,7,2014,1,SA
45–49,Invasive,2,2014,1,TAS
45–49,Invasive,52,2014,1,VIC
45–49,Invasive,19,2014,1,WA
45–49,Invasive,1,2014,2+,ACT
45–49,Invasive,15,2014,2+,NSW
45–49,Invasive,0,2014,2+,NT
45–49,Invasive,73,2014,2+,QLD
45–49,Invasive,10,2014,2+,SA
45–49,Invasive,6,2014,2+,TAS
45–49,Invasive,16,2014,2+,VIC
45–49,Invasive,17,2014,2+,WA
45–49,Invasive,0,2015,1,ACT
45–49,Invasive,48,2015,1,NSW
45–49,Invasive,0,2015,1,NT
45–49,Invasive,41,2015,1,QLD
45–49,Invasive,5,2015,1,SA
45–49,Invasive,3,2015,1,TAS
45–49,Invasive,25,2015,1,VIC
45–49,Invasive,21,2015,1,WA
45–49,Invasive,1,2015,2+,ACT
45–49,Invasive,13,2015,2+,NSW
45–49,Invasive,1,2015,2+,NT
45–49,Invasive,66,2015,2+,QLD
45–49,Invasive,11,2015,2+,SA
45–49,Invasive,4,2015,2+,TAS
45–49,Invasive,20,2015,2+,VIC
45–49,Invasive,21,2015,2+,WA
45–49,Invasive,3,2016,1,ACT
45–49,Invasive,30,2016,1,NSW
45–49,Invasive,2,2016,1,NT
45–49,Invasive,51,2016,1,QLD
45–49,Invasive,5,2016,1,SA
45–49,Invasive,1,2016,1,TAS
45–49,Invasive,25,2016,1,VIC
45–49,Invasive,12,2016,1,WA
45–49,Invasive,2,2016,2+,ACT
45–49,Invasive,23,2016,2+,NSW
45–49,Invasive,0,2016,2+,NT
45–49,Invasive,63,2016,2+,QLD
45–49,Invasive,12,2016,2+,SA
45–49,Invasive,9,2016,2+,TAS
45–49,Invasive,16,2016,2+,VIC
45–49,Invasive,16,2016,2+,WA
45–49,Invasive,3,2017,1,ACT
45–49,Invasive,46,2017,1,NSW
45–49,Invasive,1,2017,1,NT
45–49,Invasive,37,2017,1,QLD
45–49,Invasive,9,2017,1,SA
45–49,Invasive,8,2017,1,TAS
45–49,Invasive,42,2017,1,VIC
45–49,Invasive,12,2017,1,WA
45–49,Invasive,2,2017,2+,ACT
45–49,Invasive,30,2017,2+,NSW
45–49,Invasive,1,2017,2+,NT
45–49,Invasive,77,2017,2+,QLD
45–49,Invasive,13,2017,2+,SA
45–49,Invasive,9,2017,2+,TAS
45–49,Invasive,18,2017,2+,VIC
45–49,Invasive,16,2017,2+,WA
50–54,Invasive,4,2009,1,ACT
50–54,Invasive,91,2009,1,NSW
50–54,Invasive,36,2009,1,QLD
50–54,Invasive,20,2009,1,SA
50–54,Invasive,4,2009,1,TAS
50–54,Invasive,66,2009,1,VIC
50–54,Invasive,36,2009,1,WA
50–54,Invasive,119,2009,2+,NSW
50–54,Invasive,5,2009,2+,NT
50–54,Invasive,125,2009,2+,QLD
50–54,Invasive,29,2009,2+,SA
50–54,Invasive,12,2009,2+,TAS
50–54,Invasive,81,2009,2+,VIC
50–54,Invasive,42,2009,2+,WA
50–54,Invasive,4,2010,1,ACT
50–54,Invasive,78,2010,1,NSW
50–54,Invasive,3,2010,1,NT
50–54,Invasive,45,2010,1,QLD
50–54,Invasive,17,2010,1,SA
50–54,Invasive,10,2010,1,TAS
50–54,Invasive,92,2010,1,VIC
50–54,Invasive,41,2010,1,WA
50–54,Invasive,4,2010,2+,ACT
50–54,Invasive,117,2010,2+,NSW
50–54,Invasive,2,2010,2+,NT
50–54,Invasive,119,2010,2+,QLD
50–54,Invasive,34,2010,2+,SA
50–54,Invasive,14,2010,2+,TAS
50–54,Invasive,95,2010,2+,VIC
50–54,Invasive,45,2010,2+,WA
50–54,Invasive,7,2011,1,ACT
50–54,Invasive,69,2011,1,NSW
50–54,Invasive,3,2011,1,NT
50–54,Invasive,54,2011,1,QLD
50–54,Invasive,16,2011,1,SA
50–54,Invasive,8,2011,1,TAS
50–54,Invasive,108,2011,1,VIC
50–54,Invasive,42,2011,1,WA
50–54,Invasive,5,2011,2+,ACT
50–54,Invasive,122,2011,2+,NSW
50–54,Invasive,2,2011,2+,NT
50–54,Invasive,120,2011,2+,QLD
50–54,Invasive,29,2011,2+,SA
50–54,Invasive,14,2011,2+,TAS
50–54,Invasive,93,2011,2+,VIC
50–54,Invasive,50,2011,2+,WA
50–54,Invasive,8,2012,1,ACT
50–54,Invasive,114,2012,1,NSW
50–54,Invasive,2,2012,1,NT
50–54,Invasive,52,2012,1,QLD
50–54,Invasive,23,2012,1,SA
50–54,Invasive,8,2012,1,TAS
50–54,Invasive,106,2012,1,VIC
50–54,Invasive,40,2012,1,WA
50–54,Invasive,4,2012,2+,ACT
50–54,Invasive,131,2012,2+,NSW
50–54,Invasive,1,2012,2+,NT
50–54,Invasive,139,2012,2+,QLD
50–54,Invasive,37,2012,2+,SA
50–54,Invasive,13,2012,2+,TAS
50–54,Invasive,107,2012,2+,VIC
50–54,Invasive,54,2012,2+,WA
50–54,Invasive,15,2013,1,ACT
50–54,Invasive,128,2013,1,NSW
50–54,Invasive,3,2013,1,NT
50–54,Invasive,54,2013,1,QLD
50–54,Invasive,21,2013,1,SA
50–54,Invasive,7,2013,1,TAS
50–54,Invasive,109,2013,1,VIC
50–54,Invasive,43,2013,1,WA
50–54,Invasive,5,2013,2+,ACT
50–54,Invasive,136,2013,2+,NSW
50–54,Invasive,0,2013,2+,NT
50–54,Invasive,144,2013,2+,QLD
50–54,Invasive,37,2013,2+,SA
50–54,Invasive,22,2013,2+,TAS
50–54,Invasive,130,2013,2+,VIC
50–54,Invasive,49,2013,2+,WA
50–54,Invasive,4,2014,1,ACT
50–54,Invasive,119,2014,1,NSW
50–54,Invasive,4,2014,1,NT
50–54,Invasive,52,2014,1,QLD
50–54,Invasive,22,2014,1,SA
50–54,Invasive,5,2014,1,TAS
50–54,Invasive,96,2014,1,VIC
50–54,Invasive,36,2014,1,WA
50–54,Invasive,8,2014,2+,ACT
50–54,Invasive,139,2014,2+,NSW
50–54,Invasive,1,2014,2+,NT
50–54,Invasive,127,2014,2+,QLD
50–54,Invasive,44,2014,2+,SA
50–54,Invasive,9,2014,2+,TAS
50–54,Invasive,109,2014,2+,VIC
50–54,Invasive,51,2014,2+,WA
50–54,Invasive,9,2015,1,ACT
50–54,Invasive,118,2015,1,NSW
50–54,Invasive,1,2015,1,NT
50–54,Invasive,41,2015,1,QLD
50–54,Invasive,25,2015,1,SA
50–54,Invasive,6,2015,1,TAS
50–54,Invasive,98,2015,1,VIC
50–54,Invasive,43,2015,1,WA
50–54,Invasive,7,2015,2+,ACT
50–54,Invasive,146,2015,2+,NSW
50–54,Invasive,1,2015,2+,NT
50–54,Invasive,117,2015,2+,QLD
50–54,Invasive,26,2015,2+,SA
50–54,Invasive,14,2015,2+,TAS
50–54,Invasive,102,2015,2+,VIC
50–54,Invasive,55,2015,2+,WA
50–54,Invasive,9,2016,1,ACT
50–54,Invasive,134,2016,1,NSW
50–54,Invasive,2,2016,1,NT
50–54,Invasive,50,2016,1,QLD
50–54,Invasive,27,2016,1,SA
50–54,Invasive,7,2016,1,TAS
50–54,Invasive,102,2016,1,VIC
50–54,Invasive,45,2016,1,WA
50–54,Invasive,5,2016,2+,ACT
50–54,Invasive,132,2016,2+,NSW
50–54,Invasive,0,2016,2+,NT
50–54,Invasive,127,2016,2+,QLD
50–54,Invasive,36,2016,2+,SA
50–54,Invasive,10,2016,2+,TAS
50–54,Invasive,136,2016,2+,VIC
50–54,Invasive,50,2016,2+,WA
50–54,Invasive,5,2017,1,ACT
50–54,Invasive,146,2017,1,NSW
50–54,Invasive,2,2017,1,NT
50–54,Invasive,55,2017,1,QLD
50–54,Invasive,36,2017,1,SA
50–54,Invasive,6,2017,1,TAS
50–54,Invasive,107,2017,1,VIC
50–54,Invasive,48,2017,1,WA
50–54,Invasive,7,2017,2+,ACT
50–54,Invasive,130,2017,2+,NSW
50–54,Invasive,4,2017,2+,NT
50–54,Invasive,123,2017,2+,QLD
50–54,Invasive,35,2017,2+,SA
50–54,Invasive,19,2017,2+,TAS
50–54,Invasive,124,2017,2+,VIC
50–54,Invasive,56,2017,2+,WA
55–59,Invasive,58,2009,1,NSW
55–59,Invasive,5,2009,1,NT
55–59,Invasive,18,2009,1,QLD
55–59,Invasive,6,2009,1,SA
55–59,Invasive,14,2009,1,VIC
55–59,Invasive,12,2009,1,WA
55–59,Invasive,18,2009,2+,ACT
55–59,Invasive,192,2009,2+,NSW
55–59,Invasive,4,2009,2+,NT
55–59,Invasive,179,2009,2+,QLD
55–59,Invasive,54,2009,2+,SA
55–59,Invasive,11,2009,2+,TAS
55–59,Invasive,155,2009,2+,VIC
55–59,Invasive,68,2009,2+,WA
55–59,Invasive,2,2010,1,ACT
55–59,Invasive,47,2010,1,NSW
55–59,Invasive,3,2010,1,NT
55–59,Invasive,24,2010,1,QLD
55–59,Invasive,4,2010,1,SA
55–59,Invasive,5,2010,1,TAS
55–59,Invasive,32,2010,1,VIC
55–59,Invasive,19,2010,1,WA
55–59,Invasive,10,2010,2+,ACT
55–59,Invasive,202,2010,2+,NSW
55–59,Invasive,10,2010,2+,NT
55–59,Invasive,143,2010,2+,QLD
55–59,Invasive,60,2010,2+,SA
55–59,Invasive,17,2010,2+,TAS
55–59,Invasive,159,2010,2+,VIC
55–59,Invasive,74,2010,2+,WA
55–59,Invasive,4,2011,1,ACT
55–59,Invasive,28,2011,1,NSW
55–59,Invasive,2,2011,1,NT
55–59,Invasive,23,2011,1,QLD
55–59,Invasive,4,2011,1,SA
55–59,Invasive,4,2011,1,TAS
55–59,Invasive,17,2011,1,VIC
55–59,Invasive,10,2011,1,WA
55–59,Invasive,14,2011,2+,ACT
55–59,Invasive,192,2011,2+,NSW
55–59,Invasive,4,2011,2+,NT
55–59,Invasive,139,2011,2+,QLD
55–59,Invasive,56,2011,2+,SA
55–59,Invasive,20,2011,2+,TAS
55–59,Invasive,152,2011,2+,VIC
55–59,Invasive,68,2011,2+,WA
55–59,Invasive,3,2012,1,ACT
55–59,Invasive,41,2012,1,NSW
55–59,Invasive,1,2012,1,NT
55–59,Invasive,22,2012,1,QLD
55–59,Invasive,6,2012,1,SA
55–59,Invasive,2,2012,1,TAS
55–59,Invasive,26,2012,1,VIC
55–59,Invasive,14,2012,1,WA
55–59,Invasive,13,2012,2+,ACT
55–59,Invasive,197,2012,2+,NSW
55–59,Invasive,3,2012,2+,NT
55–59,Invasive,151,2012,2+,QLD
55–59,Invasive,56,2012,2+,SA
55–59,Invasive,22,2012,2+,TAS
55–59,Invasive,150,2012,2+,VIC
55–59,Invasive,76,2012,2+,WA
55–59,Invasive,5,2013,1,ACT
55–59,Invasive,33,2013,1,NSW
55–59,Invasive,4,2013,1,NT
55–59,Invasive,24,2013,1,QLD
55–59,Invasive,8,2013,1,SA
55–59,Invasive,3,2013,1,TAS
55–59,Invasive,45,2013,1,VIC
55–59,Invasive,22,2013,1,WA
55–59,Invasive,5,2013,2+,ACT
55–59,Invasive,220,2013,2+,NSW
55–59,Invasive,7,2013,2+,NT
55–59,Invasive,150,2013,2+,QLD
55–59,Invasive,55,2013,2+,SA
55–59,Invasive,13,2013,2+,TAS
55–59,Invasive,181,2013,2+,VIC
55–59,Invasive,85,2013,2+,WA
55–59,Invasive,3,2014,1,ACT
55–59,Invasive,49,2014,1,NSW
55–59,Invasive,2,2014,1,NT
55–59,Invasive,36,2014,1,QLD
55–59,Invasive,8,2014,1,SA
55–59,Invasive,5,2014,1,TAS
55–59,Invasive,22,2014,1,VIC
55–59,Invasive,19,2014,1,WA
55–59,Invasive,14,2014,2+,ACT
55–59,Invasive,221,2014,2+,NSW
55–59,Invasive,3,2014,2+,NT
55–59,Invasive,188,2014,2+,QLD
55–59,Invasive,63,2014,2+,SA
55–59,Invasive,16,2014,2+,TAS
55–59,Invasive,179,2014,2+,VIC
55–59,Invasive,69,2014,2+,WA
55–59,Invasive,3,2015,1,ACT
55–59,Invasive,58,2015,1,NSW
55–59,Invasive,2,2015,1,NT
55–59,Invasive,24,2015,1,QLD
55–59,Invasive,9,2015,1,SA
55–59,Invasive,4,2015,1,TAS
55–59,Invasive,28,2015,1,VIC
55–59,Invasive,13,2015,1,WA
55–59,Invasive,12,2015,2+,ACT
55–59,Invasive,230,2015,2+,NSW
55–59,Invasive,2,2015,2+,NT
55–59,Invasive,192,2015,2+,QLD
55–59,Invasive,63,2015,2+,SA
55–59,Invasive,17,2015,2+,TAS
55–59,Invasive,204,2015,2+,VIC
55–59,Invasive,88,2015,2+,WA
55–59,Invasive,2,2016,1,ACT
55–59,Invasive,57,2016,1,NSW
55–59,Invasive,1,2016,1,NT
55–59,Invasive,18,2016,1,QLD
55–59,Invasive,10,2016,1,SA
55–59,Invasive,8,2016,1,TAS
55–59,Invasive,32,2016,1,VIC
55–59,Invasive,10,2016,1,WA
55–59,Invasive,13,2016,2+,ACT
55–59,Invasive,269,2016,2+,NSW
55–59,Invasive,2,2016,2+,NT
55–59,Invasive,181,2016,2+,QLD
55–59,Invasive,84,2016,2+,SA
55–59,Invasive,14,2016,2+,TAS
55–59,Invasive,195,2016,2+,VIC
55–59,Invasive,78,2016,2+,WA
55–59,Invasive,4,2017,1,ACT
55–59,Invasive,59,2017,1,NSW
55–59,Invasive,5,2017,1,NT
55–59,Invasive,25,2017,1,QLD
55–59,Invasive,7,2017,1,SA
55–59,Invasive,7,2017,1,TAS
55–59,Invasive,41,2017,1,VIC
55–59,Invasive,9,2017,1,WA
55–59,Invasive,14,2017,2+,ACT
55–59,Invasive,241,2017,2+,NSW
55–59,Invasive,6,2017,2+,NT
55–59,Invasive,182,2017,2+,QLD
55–59,Invasive,73,2017,2+,SA
55–59,Invasive,27,2017,2+,TAS
55–59,Invasive,179,2017,2+,VIC
55–59,Invasive,90,2017,2+,WA
60–64,Invasive,51,2009,1,NSW
60–64,Invasive,23,2009,1,QLD
60–64,Invasive,13,2009,1,VIC
60–64,Invasive,6,2009,1,WA
60–64,Invasive,27,2009,2+,ACT
60–64,Invasive,275,2009,2+,NSW
60–64,Invasive,5,2009,2+,NT
60–64,Invasive,208,2009,2+,QLD
60–64,Invasive,74,2009,2+,SA
60–64,Invasive,28,2009,2+,TAS
60–64,Invasive,208,2009,2+,VIC
60–64,Invasive,92,2009,2+,WA
60–64,Invasive,0,2010,1,ACT
60–64,Invasive,51,2010,1,NSW
60–64,Invasive,1,2010,1,NT
60–64,Invasive,22,2010,1,QLD
60–64,Invasive,4,2010,1,SA
60–64,Invasive,2,2010,1,TAS
60–64,Invasive,14,2010,1,VIC
60–64,Invasive,4,2010,1,WA
60–64,Invasive,17,2010,2+,ACT
60–64,Invasive,287,2010,2+,NSW
60–64,Invasive,5,2010,2+,NT
60–64,Invasive,194,2010,2+,QLD
60–64,Invasive,82,2010,2+,SA
60–64,Invasive,30,2010,2+,TAS
60–64,Invasive,205,2010,2+,VIC
60–64,Invasive,99,2010,2+,WA
60–64,Invasive,2,2011,1,ACT
60–64,Invasive,29,2011,1,NSW
60–64,Invasive,1,2011,1,NT
60–64,Invasive,28,2011,1,QLD
60–64,Invasive,2,2011,1,SA
60–64,Invasive,6,2011,1,TAS
60–64,Invasive,20,2011,1,VIC
60–64,Invasive,3,2011,1,WA
60–64,Invasive,20,2011,2+,ACT
60–64,Invasive,248,2011,2+,NSW
60–64,Invasive,4,2011,2+,NT
60–64,Invasive,212,2011,2+,QLD
60–64,Invasive,80,2011,2+,SA
60–64,Invasive,32,2011,2+,TAS
60–64,Invasive,231,2011,2+,VIC
60–64,Invasive,108,2011,2+,WA
60–64,Invasive,2,2012,1,ACT
60–64,Invasive,34,2012,1,NSW
60–64,Invasive,6,2012,1,NT
60–64,Invasive,18,2012,1,QLD
60–64,Invasive,1,2012,1,SA
60–64,Invasive,8,2012,1,TAS
60–64,Invasive,17,2012,1,VIC
60–64,Invasive,14,2012,1,WA
60–64,Invasive,13,2012,2+,ACT
60–64,Invasive,314,2012,2+,NSW
60–64,Invasive,4,2012,2+,NT
60–64,Invasive,197,2012,2+,QLD
60–64,Invasive,72,2012,2+,SA
60–64,Invasive,30,2012,2+,TAS
60–64,Invasive,205,2012,2+,VIC
60–64,Invasive,113,2012,2+,WA
60–64,Invasive,23,2013,1,ACT
60–64,Invasive,35,2013,1,NSW
60–64,Invasive,0,2013,1,NT
60–64,Invasive,14,2013,1,QLD
60–64,Invasive,6,2013,1,SA
60–64,Invasive,1,2013,1,TAS
60–64,Invasive,19,2013,1,VIC
60–64,Invasive,10,2013,1,WA
60–64,Invasive,3,2013,2+,ACT
60–64,Invasive,293,2013,2+,NSW
60–64,Invasive,6,2013,2+,NT
60–64,Invasive,209,2013,2+,QLD
60–64,Invasive,82,2013,2+,SA
60–64,Invasive,38,2013,2+,TAS
60–64,Invasive,246,2013,2+,VIC
60–64,Invasive,98,2013,2+,WA
60–64,Invasive,0,2014,1,ACT
60–64,Invasive,27,2014,1,NSW
60–64,Invasive,1,2014,1,NT
60–64,Invasive,22,2014,1,QLD
60–64,Invasive,4,2014,1,SA
60–64,Invasive,4,2014,1,TAS
60–64,Invasive,27,2014,1,VIC
60–64,Invasive,4,2014,1,WA
60–64,Invasive,14,2014,2+,ACT
60–64,Invasive,332,2014,2+,NSW
60–64,Invasive,9,2014,2+,NT
60–64,Invasive,209,2014,2+,QLD
60–64,Invasive,112,2014,2+,SA
60–64,Invasive,31,2014,2+,TAS
60–64,Invasive,247,2014,2+,VIC
60–64,Invasive,116,2014,2+,WA
60–64,Invasive,3,2015,1,ACT
60–64,Invasive,26,2015,1,NSW
60–64,Invasive,0,2015,1,NT
60–64,Invasive,21,2015,1,QLD
60–64,Invasive,5,2015,1,SA
60–64,Invasive,3,2015,1,TAS
60–64,Invasive,20,2015,1,VIC
60–64,Invasive,9,2015,1,WA
60–64,Invasive,11,2015,2+,ACT
60–64,Invasive,317,2015,2+,NSW
60–64,Invasive,7,2015,2+,NT
60–64,Invasive,229,2015,2+,QLD
60–64,Invasive,96,2015,2+,SA
60–64,Invasive,27,2015,2+,TAS
60–64,Invasive,233,2015,2+,VIC
60–64,Invasive,105,2015,2+,WA
60–64,Invasive,2,2016,1,ACT
60–64,Invasive,45,2016,1,NSW
60–64,Invasive,0,2016,1,NT
60–64,Invasive,23,2016,1,QLD
60–64,Invasive,6,2016,1,SA
60–64,Invasive,4,2016,1,TAS
60–64,Invasive,22,2016,1,VIC
60–64,Invasive,10,2016,1,WA
60–64,Invasive,28,2016,2+,ACT
60–64,Invasive,364,2016,2+,NSW
60–64,Invasive,6,2016,2+,NT
60–64,Invasive,244,2016,2+,QLD
60–64,Invasive,103,2016,2+,SA
60–64,Invasive,15,2016,2+,TAS
60–64,Invasive,239,2016,2+,VIC
60–64,Invasive,123,2016,2+,WA
60–64,Invasive,3,2017,1,ACT
60–64,Invasive,37,2017,1,NSW
