AGE GROUP (YEARS),Cancer,NUM_WOMEN,Period,Screen,STATE
45–49,DCIS,12,2015,1,VIC
45–49,DCIS,8,2015,1,WA
45–49,DCIS,1,2015,2+,ACT
45–49,DCIS,9,2015,2+,NSW
45–49,DCIS,0,2015,2+,NT
45–49,DCIS,19,2015,2+,QLD
45–49,DCIS,3,2015,2+,SA
45–49,DCIS,3,2015,2+,TAS
45–49,DCIS,8,2015,2+,VIC
45–49,DCIS,12,2015,2+,WA
45–49,DCIS,1,2016,1,ACT
45–49,DCIS,14,2016,1,NSW
45–49,DCIS,0,2016,1,NT
45–49,DCIS,11,2016,1,QLD
45–49,DCIS,1,2016,1,SA
45–49,DCIS,1,2016,1,TAS
45–49,DCIS,7,2016,1,VIC
45–49,DCIS,6,2016,1,WA
45–49,DCIS,0,2016,2+,ACT
45–49,DCIS,4,2016,2+,NSW
45–49,DCIS,0,2016,2+,NT
45–49,DCIS,21,2016,2+,QLD
45–49,DCIS,6,2016,2+,SA
45–49,DCIS,5,2016,2+,TAS
45–49,DCIS,6,2016,2+,VIC
45–49,DCIS,15,2016,2+,WA
45–49,DCIS,1,2017,1,ACT
45–49,DCIS,9,2017,1,NSW
45–49,DCIS,0,2017,1,NT
45–49,DCIS,10,2017,1,QLD
45–49,DCIS,4,2017,1,SA
45–49,DCIS,1,2017,1,TAS
45–49,DCIS,19,2017,1,VIC
45–49,DCIS,7,2017,1,WA
45–49,DCIS,2,2017,2+,ACT
45–49,DCIS,10,2017,2+,NSW
45–49,DCIS,0,2017,2+,NT
45–49,DCIS,18,2017,2+,QLD
45–49,DCIS,1,2017,2+,SA
45–49,DCIS,2,2017,2+,TAS
45–49,DCIS,9,2017,2+,VIC
45–49,DCIS,7,2017,2+,WA
50–54,DCIS,3,2015,1,ACT
50–54,DCIS,33,2015,1,NSW
50–54,DCIS,1,2015,1,NT
50–54,DCIS,14,2015,1,QLD
50–54,DCIS,11,2015,1,SA
50–54,DCIS,0,2015,1,TAS
50–54,DCIS,37,2015,1,VIC
50–54,DCIS,14,2015,1,WA
50–54,DCIS,6,2015,2+,ACT
50–54,DCIS,36,2015,2+,NSW
50–54,DCIS,0,2015,2+,NT
50–54,DCIS,39,2015,2+,QLD
50–54,DCIS,14,2015,2+,SA
50–54,DCIS,4,2015,2+,TAS
50–54,DCIS,39,2015,2+,VIC
50–54,DCIS,13,2015,2+,WA
50–54,DCIS,3,2016,1,ACT
50–54,DCIS,45,2016,1,NSW
50–54,DCIS,0,2016,1,NT
50–54,DCIS,13,2016,1,QLD
50–54,DCIS,5,2016,1,SA
50–54,DCIS,5,2016,1,TAS
50–54,DCIS,25,2016,1,VIC
50–54,DCIS,15,2016,1,WA
50–54,DCIS,3,2016,2+,ACT
50–54,DCIS,43,2016,2+,NSW
50–54,DCIS,0,2016,2+,NT
50–54,DCIS,33,2016,2+,QLD
50–54,DCIS,17,2016,2+,SA
50–54,DCIS,5,2016,2+,TAS
50–54,DCIS,50,2016,2+,VIC
50–54,DCIS,14,2016,2+,WA
50–54,DCIS,0,2017,1,ACT
50–54,DCIS,32,2017,1,NSW
50–54,DCIS,1,2017,1,NT
50–54,DCIS,18,2017,1,QLD
50–54,DCIS,9,2017,1,SA
50–54,DCIS,0,2017,1,TAS
50–54,DCIS,31,2017,1,VIC
50–54,DCIS,14,2017,1,WA
50–54,DCIS,1,2017,2+,ACT
50–54,DCIS,38,2017,2+,NSW
50–54,DCIS,0,2017,2+,NT
50–54,DCIS,34,2017,2+,QLD
50–54,DCIS,14,2017,2+,SA
50–54,DCIS,3,2017,2+,TAS
50–54,DCIS,55,2017,2+,VIC
50–54,DCIS,8,2017,2+,WA
50–59,DCIS,4,2009,1,ACT
50–59,DCIS,41,2009,1,NSW
50–59,DCIS,17,2009,1,QLD
50–59,DCIS,10,2009,1,SA
50–59,DCIS,34,2009,1,VIC
50–59,DCIS,7,2009,1,WA
50–59,DCIS,5,2009,2+,ACT
50–59,DCIS,102,2009,2+,NSW
50–59,DCIS,84,2009,2+,QLD
50–59,DCIS,26,2009,2+,SA
50–59,DCIS,75,2009,2+,VIC
50–59,DCIS,45,2009,2+,WA
50–59,DCIS,5,2010,1,ACT
50–59,DCIS,31,2010,1,NSW
50–59,DCIS,1,2010,1,NT
50–59,DCIS,23,2010,1,QLD
50–59,DCIS,6,2010,1,SA
50–59,DCIS,1,2010,1,TAS
50–59,DCIS,37,2010,1,VIC
50–59,DCIS,11,2010,1,WA
50–59,DCIS,5,2010,2+,ACT
50–59,DCIS,93,2010,2+,NSW
50–59,DCIS,2,2010,2+,NT
50–59,DCIS,87,2010,2+,QLD
50–59,DCIS,24,2010,2+,SA
50–59,DCIS,4,2010,2+,TAS
50–59,DCIS,73,2010,2+,VIC
50–59,DCIS,39,2010,2+,WA
50–59,DCIS,3,2011,1,ACT
50–59,DCIS,23,2011,1,NSW
50–59,DCIS,2,2011,1,NT
50–59,DCIS,16,2011,1,QLD
50–59,DCIS,7,2011,1,SA
50–59,DCIS,3,2011,1,TAS
50–59,DCIS,40,2011,1,VIC
50–59,DCIS,15,2011,1,WA
50–59,DCIS,5,2011,2+,ACT
50–59,DCIS,72,2011,2+,NSW
50–59,DCIS,1,2011,2+,NT
50–59,DCIS,70,2011,2+,QLD
50–59,DCIS,22,2011,2+,SA
50–59,DCIS,9,2011,2+,TAS
50–59,DCIS,78,2011,2+,VIC
50–59,DCIS,49,2011,2+,WA
50–59,DCIS,4,2012,1,ACT
50–59,DCIS,38,2012,1,NSW
50–59,DCIS,2,2012,1,NT
50–59,DCIS,22,2012,1,QLD
50–59,DCIS,7,2012,1,SA
50–59,DCIS,3,2012,1,TAS
50–59,DCIS,22,2012,1,VIC
50–59,DCIS,21,2012,1,WA
50–59,DCIS,5,2012,2+,ACT
50–59,DCIS,89,2012,2+,NSW
50–59,DCIS,0,2012,2+,NT
50–59,DCIS,63,2012,2+,QLD
50–59,DCIS,23,2012,2+,SA
50–59,DCIS,10,2012,2+,TAS
50–59,DCIS,88,2012,2+,VIC
50–59,DCIS,43,2012,2+,WA
50–59,DCIS,6,2013,1,ACT
50–59,DCIS,54,2013,1,NSW
50–59,DCIS,5,2013,1,NT
50–59,DCIS,17,2013,1,QLD
50–59,DCIS,8,2013,1,SA
50–59,DCIS,4,2013,1,TAS
50–59,DCIS,46,2013,1,VIC
50–59,DCIS,21,2013,1,WA
50–59,DCIS,1,2013,2+,ACT
50–59,DCIS,115,2013,2+,NSW
50–59,DCIS,0,2013,2+,NT
50–59,DCIS,86,2013,2+,QLD
50–59,DCIS,28,2013,2+,SA
50–59,DCIS,7,2013,2+,TAS
50–59,DCIS,90,2013,2+,VIC
50–59,DCIS,39,2013,2+,WA
50–59,DCIS,2,2014,1,ACT
50–59,DCIS,45,2014,1,NSW
50–59,DCIS,1,2014,1,NT
50–59,DCIS,23,2014,1,QLD
50–59,DCIS,9,2014,1,SA
50–59,DCIS,1,2014,1,TAS
50–59,DCIS,44,2014,1,VIC
50–59,DCIS,13,2014,1,WA
50–59,DCIS,3,2014,2+,ACT
50–59,DCIS,118,2014,2+,NSW
50–59,DCIS,1,2014,2+,NT
50–59,DCIS,115,2014,2+,QLD
50–59,DCIS,43,2014,2+,SA
50–59,DCIS,5,2014,2+,TAS
50–59,DCIS,109,2014,2+,VIC
50–59,DCIS,42,2014,2+,WA
55–59,DCIS,0,2015,1,ACT
55–59,DCIS,12,2015,1,NSW
55–59,DCIS,0,2015,1,NT
55–59,DCIS,5,2015,1,QLD
55–59,DCIS,1,2015,1,SA
55–59,DCIS,2,2015,1,TAS
55–59,DCIS,7,2015,1,VIC
55–59,DCIS,3,2015,1,WA
55–59,DCIS,4,2015,2+,ACT
55–59,DCIS,65,2015,2+,NSW
55–59,DCIS,1,2015,2+,NT
55–59,DCIS,48,2015,2+,QLD
55–59,DCIS,12,2015,2+,SA
55–59,DCIS,6,2015,2+,TAS
55–59,DCIS,60,2015,2+,VIC
55–59,DCIS,18,2015,2+,WA
55–59,DCIS,1,2016,1,ACT
55–59,DCIS,18,2016,1,NSW
55–59,DCIS,0,2016,1,NT
55–59,DCIS,6,2016,1,QLD
55–59,DCIS,4,2016,1,SA
55–59,DCIS,3,2016,1,TAS
55–59,DCIS,9,2016,1,VIC
55–59,DCIS,2,2016,1,WA
55–59,DCIS,2,2016,2+,ACT
55–59,DCIS,58,2016,2+,NSW
55–59,DCIS,1,2016,2+,NT
55–59,DCIS,47,2016,2+,QLD
55–59,DCIS,18,2016,2+,SA
55–59,DCIS,5,2016,2+,TAS
55–59,DCIS,48,2016,2+,VIC
55–59,DCIS,28,2016,2+,WA
55–59,DCIS,0,2017,1,ACT
55–59,DCIS,15,2017,1,NSW
55–59,DCIS,1,2017,1,NT
55–59,DCIS,12,2017,1,QLD
55–59,DCIS,5,2017,1,SA
55–59,DCIS,2,2017,1,TAS
55–59,DCIS,13,2017,1,VIC
55–59,DCIS,5,2017,1,WA
55–59,DCIS,2,2017,2+,ACT
55–59,DCIS,61,2017,2+,NSW
55–59,DCIS,1,2017,2+,NT
55–59,DCIS,30,2017,2+,QLD
55–59,DCIS,11,2017,2+,SA
55–59,DCIS,7,2017,2+,TAS
55–59,DCIS,47,2017,2+,VIC
55–59,DCIS,25,2017,2+,WA
60–64,DCIS,0,2015,1,ACT
60–64,DCIS,4,2015,1,NSW
60–64,DCIS,1,2015,1,NT
60–64,DCIS,4,2015,1,QLD
60–64,DCIS,2,2015,1,SA
60–64,DCIS,1,2015,1,TAS
60–64,DCIS,6,2015,1,VIC
60–64,DCIS,2,2015,1,WA
60–64,DCIS,6,2015,2+,ACT
60–64,DCIS,75,2015,2+,NSW
60–64,DCIS,2,2015,2+,NT
60–64,DCIS,49,2015,2+,QLD
60–64,DCIS,23,2015,2+,SA
60–64,DCIS,7,2015,2+,TAS
60–64,DCIS,53,2015,2+,VIC
60–64,DCIS,36,2015,2+,WA
60–64,DCIS,0,2016,1,ACT
60–64,DCIS,10,2016,1,NSW
60–64,DCIS,1,2016,1,NT
60–64,DCIS,6,2016,1,QLD
60–64,DCIS,5,2016,1,SA
60–64,DCIS,0,2016,1,TAS
60–64,DCIS,2,2016,1,VIC
60–64,DCIS,4,2016,1,WA
60–64,DCIS,2,2016,2+,ACT
60–64,DCIS,81,2016,2+,NSW
60–64,DCIS,1,2016,2+,NT
60–64,DCIS,57,2016,2+,QLD
60–64,DCIS,25,2016,2+,SA
60–64,DCIS,6,2016,2+,TAS
60–64,DCIS,74,2016,2+,VIC
60–64,DCIS,28,2016,2+,WA
60–64,DCIS,0,2017,1,ACT
60–64,DCIS,9,2017,1,NSW
60–64,DCIS,0,2017,1,NT
60–64,DCIS,5,2017,1,QLD
60–64,DCIS,0,2017,1,SA
60–64,DCIS,0,2017,1,TAS
60–64,DCIS,7,2017,1,VIC
60–64,DCIS,4,2017,1,WA
60–64,DCIS,3,2017,2+,ACT
60–64,DCIS,78,2017,2+,NSW
60–64,DCIS,2,2017,2+,NT
60–64,DCIS,66,2017,2+,QLD
60–64,DCIS,23,2017,2+,SA
60–64,DCIS,4,2017,2+,TAS
60–64,DCIS,47,2017,2+,VIC
60–64,DCIS,19,2017,2+,WA
60–69,DCIS,0,2009,1,ACT
60–69,DCIS,21,2009,1,NSW
60–69,DCIS,0,2009,1,NT
60–69,DCIS,8,2009,1,QLD
60–69,DCIS,0,2009,1,TAS
60–69,DCIS,4,2009,1,VIC
60–69,DCIS,3,2009,1,WA
60–69,DCIS,6,2009,2+,ACT
60–69,DCIS,104,2009,2+,NSW
60–69,DCIS,3,2009,2+,NT
60–69,DCIS,84,2009,2+,QLD
60–69,DCIS,39,2009,2+,SA
60–69,DCIS,4,2009,2+,TAS
60–69,DCIS,97,2009,2+,VIC
60–69,DCIS,46,2009,2+,WA
60–69,DCIS,0,2010,1,ACT
60–69,DCIS,4,2010,1,NSW
60–69,DCIS,0,2010,1,NT
60–69,DCIS,10,2010,1,QLD
60–69,DCIS,2,2010,1,SA
60–69,DCIS,3,2010,1,TAS
60–69,DCIS,3,2010,1,VIC
60–69,DCIS,5,2010,1,WA
60–69,DCIS,3,2010,2+,ACT
60–69,DCIS,127,2010,2+,NSW
60–69,DCIS,4,2010,2+,NT
60–69,DCIS,108,2010,2+,QLD
60–69,DCIS,25,2010,2+,SA
60–69,DCIS,15,2010,2+,TAS
60–69,DCIS,84,2010,2+,VIC
60–69,DCIS,41,2010,2+,WA
60–69,DCIS,1,2011,1,ACT
60–69,DCIS,13,2011,1,NSW
60–69,DCIS,0,2011,1,NT
60–69,DCIS,7,2011,1,QLD
60–69,DCIS,0,2011,1,SA
60–69,DCIS,1,2011,1,TAS
60–69,DCIS,5,2011,1,VIC
60–69,DCIS,5,2011,1,WA
60–69,DCIS,8,2011,2+,ACT
60–69,DCIS,122,2011,2+,NSW
60–69,DCIS,3,2011,2+,NT
60–69,DCIS,92,2011,2+,QLD
60–69,DCIS,33,2011,2+,SA
60–69,DCIS,17,2011,2+,TAS
60–69,DCIS,97,2011,2+,VIC
60–69,DCIS,62,2011,2+,WA
60–69,DCIS,1,2012,1,ACT
60–69,DCIS,10,2012,1,NSW
60–69,DCIS,0,2012,1,NT
60–69,DCIS,8,2012,1,QLD
60–69,DCIS,2,2012,1,SA
60–69,DCIS,0,2012,1,TAS
60–69,DCIS,8,2012,1,VIC
60–69,DCIS,5,2012,1,WA
60–69,DCIS,9,2012,2+,ACT
60–69,DCIS,118,2012,2+,NSW
60–69,DCIS,1,2012,2+,NT
60–69,DCIS,115,2012,2+,QLD
60–69,DCIS,27,2012,2+,SA
60–69,DCIS,14,2012,2+,TAS
60–69,DCIS,90,2012,2+,VIC
60–69,DCIS,55,2012,2+,WA
60–69,DCIS,11,2013,1,ACT
60–69,DCIS,10,2013,1,NSW
60–69,DCIS,1,2013,1,NT
60–69,DCIS,6,2013,1,QLD
60–69,DCIS,2,2013,1,SA
60–69,DCIS,1,2013,1,TAS
60–69,DCIS,12,2013,1,VIC
60–69,DCIS,3,2013,1,WA
60–69,DCIS,0,2013,2+,ACT
60–69,DCIS,158,2013,2+,NSW
60–69,DCIS,3,2013,2+,NT
60–69,DCIS,99,2013,2+,QLD
60–69,DCIS,41,2013,2+,SA
60–69,DCIS,19,2013,2+,TAS
60–69,DCIS,124,2013,2+,VIC
60–69,DCIS,66,2013,2+,WA
60–69,DCIS,0,2014,1,ACT
60–69,DCIS,12,2014,1,NSW
60–69,DCIS,0,2014,1,NT
60–69,DCIS,9,2014,1,QLD
60–69,DCIS,0,2014,1,SA
60–69,DCIS,0,2014,1,TAS
60–69,DCIS,8,2014,1,VIC
60–69,DCIS,1,2014,1,WA
60–69,DCIS,8,2014,2+,ACT
60–69,DCIS,175,2014,2+,NSW
60–69,DCIS,2,2014,2+,NT
60–69,DCIS,138,2014,2+,QLD
60–69,DCIS,64,2014,2+,SA
60–69,DCIS,11,2014,2+,TAS
60–69,DCIS,132,2014,2+,VIC
60–69,DCIS,61,2014,2+,WA
65–69,DCIS,0,2015,1,ACT
65–69,DCIS,5,2015,1,NSW
65–69,DCIS,0,2015,1,NT
65–69,DCIS,6,2015,1,QLD
65–69,DCIS,1,2015,1,SA
65–69,DCIS,1,2015,1,TAS
65–69,DCIS,3,2015,1,VIC
65–69,DCIS,0,2015,1,WA
65–69,DCIS,4,2015,2+,ACT
65–69,DCIS,88,2015,2+,NSW
65–69,DCIS,1,2015,2+,NT
65–69,DCIS,74,2015,2+,QLD
65–69,DCIS,21,2015,2+,SA
65–69,DCIS,17,2015,2+,TAS
65–69,DCIS,70,2015,2+,VIC
65–69,DCIS,27,2015,2+,WA
65–69,DCIS,0,2016,1,ACT
65–69,DCIS,7,2016,1,NSW
65–69,DCIS,0,2016,1,NT
65–69,DCIS,4,2016,1,QLD
65–69,DCIS,1,2016,1,SA
65–69,DCIS,2,2016,1,TAS
65–69,DCIS,2,2016,1,VIC
65–69,DCIS,0,2016,1,WA
65–69,DCIS,4,2016,2+,ACT
65–69,DCIS,84,2016,2+,NSW
65–69,DCIS,2,2016,2+,NT
65–69,DCIS,64,2016,2+,QLD
65–69,DCIS,21,2016,2+,SA
65–69,DCIS,2,2016,2+,TAS
65–69,DCIS,73,2016,2+,VIC
65–69,DCIS,32,2016,2+,WA
65–69,DCIS,0,2017,1,ACT
65–69,DCIS,9,2017,1,NSW
65–69,DCIS,0,2017,1,NT
65–69,DCIS,3,2017,1,QLD
65–69,DCIS,0,2017,1,SA
65–69,DCIS,0,2017,1,TAS
65–69,DCIS,6,2017,1,VIC
65–69,DCIS,2,2017,1,WA
65–69,DCIS,4,2017,2+,ACT
65–69,DCIS,83,2017,2+,NSW
65–69,DCIS,2,2017,2+,NT
65–69,DCIS,55,2017,2+,QLD
65–69,DCIS,19,2017,2+,SA
65–69,DCIS,5,2017,2+,TAS
65–69,DCIS,52,2017,2+,VIC
65–69,DCIS,37,2017,2+,WA
70+,DCIS,0,2009,1,ACT
70+,DCIS,5,2009,1,NSW
70+,DCIS,0,2009,1,NT
70+,DCIS,0,2009,1,SA
70+,DCIS,0,2009,1,TAS
70+,DCIS,27,2009,2+,NSW
70+,DCIS,0,2009,2+,NT
70+,DCIS,54,2009,2+,QLD
70+,DCIS,8,2009,2+,SA
70+,DCIS,27,2009,2+,VIC
70+,DCIS,10,2009,2+,WA
70+,DCIS,0,2010,1,ACT
70+,DCIS,3,2010,1,NSW
70+,DCIS,0,2010,1,NT
70+,DCIS,3,2010,1,QLD
70+,DCIS,0,2010,1,SA
70+,DCIS,0,2010,1,TAS
70+,DCIS,1,2010,1,VIC
70+,DCIS,2,2010,1,WA
70+,DCIS,0,2010,2+,ACT
70+,DCIS,15,2010,2+,NSW
70+,DCIS,0,2010,2+,NT
70+,DCIS,44,2010,2+,QLD
70+,DCIS,8,2010,2+,SA
70+,DCIS,1,2010,2+,TAS
70+,DCIS,22,2010,2+,VIC
70+,DCIS,11,2010,2+,WA
70+,DCIS,0,2011,1,ACT
70+,DCIS,1,2011,1,NSW
70+,DCIS,0,2011,1,NT
70+,DCIS,2,2011,1,QLD
70+,DCIS,0,2011,1,SA
70+,DCIS,0,2011,1,TAS
70+,DCIS,1,2011,1,VIC
70+,DCIS,0,2011,1,WA
70+,DCIS,3,2011,2+,ACT
70+,DCIS,18,2011,2+,NSW
70+,DCIS,1,2011,2+,NT
70+,DCIS,35,2011,2+,QLD
70+,DCIS,10,2011,2+,SA
70+,DCIS,3,2011,2+,TAS
70+,DCIS,24,2011,2+,VIC
70+,DCIS,14,2011,2+,WA
70+,DCIS,0,2012,1,ACT
70+,DCIS,2,2012,1,NSW
70+,DCIS,0,2012,1,NT
70+,DCIS,2,2012,1,QLD
70+,DCIS,1,2012,1,SA
70+,DCIS,0,2012,1,TAS
70+,DCIS,2,2012,1,VIC
70+,DCIS,0,2012,1,WA
70+,DCIS,3,2012,2+,ACT
70+,DCIS,28,2012,2+,NSW
70+,DCIS,0,2012,2+,NT
70+,DCIS,57,2012,2+,QLD
70+,DCIS,9,2012,2+,SA
70+,DCIS,2,2012,2+,TAS
70+,DCIS,41,2012,2+,VIC
70+,DCIS,22,2012,2+,WA
70+,DCIS,1,2013,1,ACT
70+,DCIS,3,2013,1,NSW
70+,DCIS,0,2013,1,NT
70+,DCIS,2,2013,1,QLD
70+,DCIS,0,2013,1,SA
70+,DCIS,0,2013,1,TAS
70+,DCIS,1,2013,1,VIC
70+,DCIS,0,2013,1,WA
70+,DCIS,0,2013,2+,ACT
70+,DCIS,52,2013,2+,NSW
70+,DCIS,0,2013,2+,NT
70+,DCIS,56,2013,2+,QLD
70+,DCIS,16,2013,2+,SA
70+,DCIS,1,2013,2+,TAS
70+,DCIS,43,2013,2+,VIC
70+,DCIS,17,2013,2+,WA
70+,DCIS,0,2014,1,ACT
70+,DCIS,3,2014,1,NSW
70+,DCIS,0,2014,1,NT
70+,DCIS,0,2014,1,QLD
70+,DCIS,0,2014,1,SA
70+,DCIS,0,2014,1,TAS
70+,DCIS,4,2014,1,VIC
70+,DCIS,0,2014,1,WA
70+,DCIS,2,2014,2+,ACT
70+,DCIS,52,2014,2+,NSW
70+,DCIS,3,2014,2+,NT
70+,DCIS,70,2014,2+,QLD
70+,DCIS,20,2014,2+,SA
70+,DCIS,7,2014,2+,TAS
70+,DCIS,37,2014,2+,VIC
70+,DCIS,45,2014,2+,WA
70–74,DCIS,1,2015,1,ACT
70–74,DCIS,2,2015,1,NSW
70–74,DCIS,0,2015,1,NT
70–74,DCIS,2,2015,1,QLD
70–74,DCIS,0,2015,1,SA
70–74,DCIS,0,2015,1,TAS
70–74,DCIS,1,2015,1,VIC
70–74,DCIS,1,2015,1,WA
70–74,DCIS,3,2015,2+,ACT
70–74,DCIS,74,2015,2+,NSW
70–74,DCIS,1,2015,2+,NT
70–74,DCIS,45,2015,2+,QLD
70–74,DCIS,16,2015,2+,SA
70–74,DCIS,6,2015,2+,TAS
70–74,DCIS,43,2015,2+,VIC
70–74,DCIS,19,2015,2+,WA
70–74,DCIS,0,2016,1,ACT
70–74,DCIS,1,2016,1,NSW
70–74,DCIS,0,2016,1,NT
70–74,DCIS,4,2016,1,QLD
70–74,DCIS,1,2016,1,SA
70–74,DCIS,0,2016,1,TAS
70–74,DCIS,4,2016,1,VIC
70–74,DCIS,1,2016,1,WA
70–74,DCIS,4,2016,2+,ACT
70–74,DCIS,50,2016,2+,NSW
70–74,DCIS,0,2016,2+,NT
70–74,DCIS,51,2016,2+,QLD
70–74,DCIS,18,2016,2+,SA
70–74,DCIS,9,2016,2+,TAS
70–74,DCIS,44,2016,2+,VIC
70–74,DCIS,27,2016,2+,WA
70–74,DCIS,0,2017,1,ACT
70–74,DCIS,2,2017,1,NSW
70–74,DCIS,1,2017,1,NT
70–74,DCIS,4,2017,1,QLD
70–74,DCIS,0,2017,1,SA
70–74,DCIS,0,2017,1,TAS
